Tinh,TenTinh,Mon,n_years,mean_first,mean_last,change,volatility_std,max_yoy_abs_change,latest_count
1,Hà Nội,SinhHoc,5,5.0338,6.37,1.3362,0.7301,1.408,3681
31,Thừa Thiên Huế,SinhHoc,5,5.3172,5.1409,-0.1763,0.707,1.4049,867
12,Thái Nguyên,SinhHoc,5,5.3288,5.7422,0.4134,0.5829,1.4003,947
4,Bắc Kạn,SinhHoc,5,5.1862,6.4462,1.26,0.7145,1.3958,744
61,Sóc Trăng,SinhHoc,5,5.7402,5.5976,-0.1426,0.5601,1.3955,1358
6,Lào Cai,Toan,5,5.3028,3.7071,-1.5957,0.6481,1.3953,4826
56,Đồng Tháp,SinhHoc,5,6.136,5.8983,-0.2377,0.5623,1.3914,840
58,Kiên Giang,SinhHoc,5,5.9842,5.2148,-0.7694,0.6798,1.3896,1155
33,Quảng Nam,SinhHoc,5,5.5342,5.8087,0.2745,0.5394,1.3873,1089
54,Trà Vinh,SinhHoc,5,5.841,5.5461,-0.2949,0.6102,1.3835,1629
19,Hải Dương,NguVan,5,6.5537,6.585,0.0313,0.6126,1.3807,19309
35,Bình Định,SinhHoc,5,5.0312,5.8968,0.8656,0.6079,1.3776,547
3,Cao Bằng,SinhHoc,5,5.5253,6.3264,0.8011,0.6079,1.3654,657
29,Quảng Bình,SinhHoc,5,5.1671,5.3493,0.1822,0.6973,1.3604,3437
22,Thái Bình,SinhHoc,5,5.1485,5.737,0.5885,0.561,1.3603,820
19,Hải Dương,SinhHoc,4,5.0667,6.2168,1.1501,0.7268,1.3553,6170
49,Bà Rịa - Vũng Tàu,SinhHoc,5,5.6328,5.594,-0.0388,0.5803,1.3531,1270
36,Phú Yên,SinhHoc,4,5.6774,6.3143,0.6369,0.6191,1.3406,1496
3,Cao Bằng,NguVan,5,6.3571,6.9423,0.5852,0.6474,1.3309,28721
60,Hậu Giang,SinhHoc,5,6.0673,5.8943,-0.173,0.5507,1.3172,662
23,Hà Nam,SinhHoc,5,5.2035,5.076,-0.1275,0.6888,1.3116,806
55,Vĩnh Long,SinhHoc,5,6.1587,6.2627,0.104,0.49,1.3064,1579
64,,SinhHoc,5,5.7417,5.5225,-0.2192,0.5631,1.3039,804
37,Khánh Hòa,SinhHoc,5,5.4876,6.1531,0.6655,0.5712,1.3024,828
24,Nam Định,SinhHoc,4,5.58,6.2198,0.6398,0.5986,1.3021,3154
38,Ninh Thuận,SinhHoc,5,5.4794,5.4767,-0.0027,0.5357,1.3014,1034
50,TP. Hồ Chí Minh,SinhHoc,5,5.8619,5.6187,-0.2432,0.5461,1.2997,1812
15,Bắc Giang,SinhHoc,5,5.6096,5.7427,0.1331,0.5808,1.2987,979
17,Vĩnh Phúc,SinhHoc,5,5.3153,6.0252,0.7099,0.5909,1.2976,741
16,Phú Thọ,SinhHoc,5,5.7936,6.6082,0.8146,0.6498,1.2924,540
57,An Giang,SinhHoc,5,6.5014,5.8845,-0.6169,0.6068,1.2909,1265
44,Lâm Đồng,SinhHoc,5,6.2827,6.6614,0.3787,0.4913,1.254,906
25,Ninh Bình,SinhHoc,5,5.866,5.9919,0.1259,0.5597,1.2493,1259
18,Bắc Ninh,SinhHoc,5,5.362,6.2736,0.9116,0.5764,1.2169,763
10,Yên Bái,SinhHoc,4,5.6262,6.3273,0.7011,0.5716,1.2076,1174
27,Nghệ An,SinhHoc,4,5.8191,6.8406,1.0215,0.6643,1.2046,3759
34,Quảng Ngãi,SinhHoc,5,5.3272,6.0786,0.7514,0.5174,1.1931,696
8,Lai Châu,SinhHoc,5,5.9415,5.3127,-0.6288,0.576,1.1846,763
9,Sơn La,HoaHoc,5,7.0226,6.3507,-0.6719,0.4598,1.1655,1358
23,Hà Nam,HoaHoc,5,6.5113,5.9345,-0.5768,0.4894,1.1634,1317
62,Bạc Liêu,SinhHoc,5,5.6987,5.0219,-0.6768,0.5729,1.1626,656
7,Điện Biên,HoaHoc,5,6.656,5.0911,-1.5649,0.6155,1.162,844
26,Thanh Hóa,SinhHoc,5,5.5247,5.825,0.3003,0.5217,1.1523,1076
5,Tuyên Quang,Toan,5,4.9156,3.4489,-1.4667,0.57,1.1358,7047
30,Quảng Trị,SinhHoc,5,5.3558,6.1853,0.8295,0.6527,1.1356,885
14,Quảng Ninh,HoaHoc,5,6.6819,5.6862,-0.9957,0.5136,1.1222,1329
64,,HoaHoc,5,6.5431,5.5315,-1.0116,0.4795,1.1215,1670
